lambda,error
0.0,0.0691027816982339
0.04,0.06909623150006959
0.08,0.06908990463356053
0.12,0.06908380108994434
0.16,0.06907792085831035
0.2,0.06907226392560101
0.24,0.06906683027661076
0.28,0.06906161989398502
0.32,0.06905663275822102
0.36,0.06905186884766723
0.4,0.06904732813852195
0.44,0.06904301060483563
0.48,0.06903891621850929
0.52,0.06903504494929529
0.56,0.06903139676479787
0.6,0.06902797163047336
0.64,0.06902476950962987
0.68,0.06902179036343051
0.72,0.06901903415089056
0.76,0.0690165008288819
0.8,0.06901419035213104
0.84,0.06901210267322166
0.88,0.06901023774259554
0.92,0.06900859550855436
0.96,0.06900717591725983
1.0,0.06900597891273572
1.04,0.06900500443687095
1.08,0.06900425242941749
1.12,0.0690037228279969
1.16,0.0690034155680981
1.2,0.06900333058308256
1.24,0.06900346780418383
1.28,0.06900382716051134
1.32,0.06900440857905253
1.36,0.06900521198467424
1.4,0.06900623730012609
1.44,0.06900748444604299
1.48,0.06900895334094785
1.52,0.06901064390125412
1.56,0.06901255604126882
1.6,0.06901468967319574
1.64,0.0690170447071383
1.68,0.06901962105110267
1.72,0.06902241861100095
1.76,0.06902543729065547
1.8,0.0690286769918014
1.84,0.06903213761409063
1.88,0.06903581905509494
1.92,0.06903972121031114
1.96,0.06904384397316342
