lambda,coeff_feature_1,coeff_feature_2,coeff_feature_3,coeff_feature_4,coeff_feature_5,coeff_feature_6,coeff_feature_7,coeff_feature_8,coeff_feature_9,coeff_feature_10
0.0,19.28429067471813,-11.591029193092975,-3.8798500199172596,4.029418352037098,-8.702697092457798,-10.646313781499902,-0.977085679951143,-6.95052735618199,-22.343957268791826,-1.67450187744062
0.04,19.28333318807593,-11.590441987296071,-3.879673238658068,4.029303932148668,-8.70225777717961,-10.645722025319968,-0.9770716653439624,-6.950087912663928,-22.34279448653742,-1.6743410280982074
0.08,19.282375796271666,-11.589854841328526,-3.879496473258548,4.029189515864428,-8.701818507420937,-10.64513033480221,-0.9770576480683475,-6.94964852255543,-22.341631826892012,-1.6741802017661107
0.12,19.28141849929131,-11.589267755181147,-3.879319723716631,4.0290751031849075,-8.701379283174557,-10.644538709935702,-0.9770436281254216,-6.9492091858469776,-22.3404692898359,-1.6740193984399359
0.16,19.28046129712082,-11.588680728844757,-3.8791429900302314,4.028960694110641,-8.700940104433233,-10.643947150709543,-0.9770296055162986,-6.948769902529058,-22.33930687534958,-1.6738586181152906
0.2,19.27950418974614,-11.588093762310166,-3.8789662721972826,4.028846288642155,-8.70050097118974,-10.643355657112803,-0.9770155802421001,-6.948330672592165,-22.338144583413396,-1.67369786078778
0.24,19.278547177153264,-11.587506855568188,-3.8787895702157105,4.028731886779988,-8.700061883436856,-10.642764229134588,-0.977001552303943,-6.947891496026793,-22.33698241400775,-1.6735371264530206
0.28,19.27759025932814,-11.586920008609642,-3.8786128840834353,4.028617488524672,-8.699622841167344,-10.642172866763968,-0.9769875217029456,-6.947452372823436,-22.335820367113072,-1.673376415106614
0.32,19.276633436256752,-11.586333221425337,-3.8784362137983903,4.028503093876735,-8.699183844373994,-10.641581569990043,-0.9769734884402242,-6.947013302972591,-22.33465844270976,-1.6732157267441783
0.36,19.27567670792507,-11.585746494006116,-3.878259559358498,4.028388702836715,-8.698744893049575,-10.640990338801924,-0.9769594525168959,-6.946574286464756,-22.333496640778172,-1.673055061361325
0.4,19.274720074319067,-11.585159826342775,-3.8780829207616865,4.028274315405138,-8.698305987186872,-10.64039917318869,-0.9769454139340772,-6.94613532329044,-22.332334961298802,-1.6728944189536639
0.44,19.273763535424727,-11.584573218426158,-3.8779062980058874,4.028159931582537,-8.697867126778661,-10.639808073139452,-0.9769313726928857,-6.945696413440143,-22.331173404252024,-1.6727337995168132
0.48,19.272807091228046,-11.583986670247086,-3.877729691089022,4.028045551369445,-8.697428311817731,-10.639217038643302,-0.9769173287944337,-6.945257556904377,-22.330011969618283,-1.6725732030463853
0.52,19.271850741714992,-11.583400181796385,-3.877553100009025,4.027931174766385,-8.696989542296865,-10.638626069689348,-0.9769032822398407,-6.9448187536736405,-22.328850657378013,-1.6724126295380017
